attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
k3,0.075,"[-0.44, 0.589]",0.515,0.289,0.773,6,0.250,136485570.443,0.118,0.000,0.075,0,0,fp
k4,0.249,"[-0.24, 0.738]",0.489,1.018,0.312,6,0.250,136485570.443,0.118,0.000,0.249,0,0,fp
k5,-0.244,"[-0.739, 0.251]",0.495,-0.984,0.329,6,0.250,136485570.443,0.118,0.000,-0.244,0,0,fp
vot,0.159,,,,,6,0.250,136485570.443,0.118,0.167,-0.007,0,0,fn
tt,-0.841,"[-1.134, -0.549]",0.293,-5.734,0.000,7,0.150,103872280.719,0.105,-1.000,0.159,0,0,fn
c,-4.891,"[-6.558, -3.224]",1.667,-5.856,0.000,7,0.150,103872280.719,0.105,-6.000,1.109,0,0,fn
s,-2.372,"[-3.09, -1.654]",0.718,-6.592,0.000,7,0.150,103872280.719,0.105,-3.000,0.628,0,0,fn
k0,-0.260,"[-0.747, 0.227]",0.487,-1.065,0.291,7,0.150,103872280.719,0.105,0.000,-0.260,0,0,fp
k1,-0.069,"[-0.436, 0.298]",0.367,-0.373,0.710,7,0.150,103872280.719,0.105,0.000,-0.069,0,0,fp
k2,0.123,"[-0.336, 0.583]",0.459,0.537,0.593,7,0.150,103872280.719,0.105,0.000,0.123,0,0,fp
k3,-0.108,"[-0.425, 0.209]",0.317,-0.680,0.499,7,0.150,103872280.719,0.105,0.000,-0.108,0,0,fp
k4,0.163,"[-0.357, 0.683]",0.520,0.625,0.534,7,0.150,103872280.719,0.105,0.000,0.163,0,0,fp
k5,-0.382,"[-0.774, 0.011]",0.392,-1.943,0.056,7,0.150,103872280.719,0.105,0.000,-0.382,0,1,fp
vot,0.172,,,,,7,0.150,103872280.719,0.105,0.167,0.005,0,0,fn
tt,-1.282,"[-1.782, -0.782]",0.500,-5.121,0.000,7,0.200,103930049.891,0.103,-1.000,-0.282,0,0,fn
c,-7.574,"[-10.595, -4.553]",3.021,-5.004,0.000,7,0.200,103930049.891,0.103,-6.000,-1.574,0,0,fn
s,-3.793,"[-5.136, -2.449]",1.344,-5.634,0.000,7,0.200,103930049.891,0.103,-3.000,-0.793,0,0,fn
k0,-0.287,"[-1.017, 0.444]",0.731,-0.783,0.437,7,0.200,103930049.891,0.103,0.000,-0.287,0,0,fp
k1,0.443,"[-0.039, 0.925]",0.482,1.834,0.071,7,0.200,103930049.891,0.103,0.000,0.443,0,1,fp
k2,-0.026,"[-0.668, 0.617]",0.642,-0.079,0.937,7,0.200,103930049.891,0.103,0.000,-0.026,0,0,fp
k3,-0.194,"[-0.609, 0.221]",0.415,-0.932,0.355,7,0.200,103930049.891,0.103,0.000,-0.194,0,0,fp
k4,0.173,"[-0.552, 0.898]",0.725,0.477,0.635,7,0.200,103930049.891,0.103,0.000,0.173,0,0,fp
k5,-0.160,"[-0.703, 0.384]",0.543,-0.586,0.560,7,0.200,103930049.891,0.103,0.000,-0.160,0,0,fp
vot,0.169,,,,,7,0.200,103930049.891,0.103,0.167,0.003,0,0,fn
tt,-0.997,"[-1.367, -0.626]",0.371,-5.368,0.000,7,0.250,113220817.036,0.107,-1.000,0.003,0,0,fn
c,-6.015,"[-8.231, -3.799]",2.216,-5.417,0.000,7,0.250,113220817.036,0.107,-6.000,-0.015,0,0,fn
s,-2.925,"[-3.893, -1.957]",0.968,-6.032,0.000,7,0.250,113220817.036,0.107,-3.000,0.075,0,0,fn
k0,0.169,"[-0.354, 0.691]",0.522,0.644,0.522,7,0.250,113220817.036,0.107,0.000,0.169,0,0,fp
k1,-0.201,"[-0.632, 0.229]",0.430,-0.935,0.353,7,0.250,113220817.036,0.107,0.000,-0.201,0,0,fp
k2,0.262,"[-0.275, 0.8]",0.537,0.975,0.333,7,0.250,113220817.036,0.107,0.000,0.262,0,0,fp
k3,-0.248,"[-0.604, 0.108]",0.356,-1.389,0.169,7,0.250,113220817.036,0.107,0.000,-0.248,0,0,fp
k4,-0.080,"[-0.67, 0.511]",0.591,-0.269,0.789,7,0.250,113220817.036,0.107,0.000,-0.080,0,0,fp
k5,-0.124,"[-0.583, 0.335]",0.459,-0.540,0.591,7,0.250,113220817.036,0.107,0.000,-0.124,0,0,fp
vot,0.166,,,,,7,0.250,113220817.036,0.107,0.167,-0.001,0,0,fn
tt,-1.223,"[-1.853, -0.594]",0.629,-3.881,0.000,8,0.150,116234056.013,0.109,-1.000,-0.223,0,0,fn
c,-6.485,"[-9.693, -3.276]",3.209,-4.034,0.000,8,0.150,116234056.013,0.109,-6.000,-0.485,0,0,fn
s,-3.699,"[-5.616, -1.782]",1.917,-3.851,0.000,8,0.150,116234056.013,0.109,-3.000,-0.699,0,0,fn
k0,-0.511,"[-1.3, 0.279]",0.790,-1.290,0.201,8,0.150,116234056.013,0.109,0.000,-0.511,0,0,fp
k1,-0.437,"[-1.222, 0.348]",0.785,-1.112,0.270,8,0.150,116234056.013,0.109,0.000,-0.437,0,0,fp
k2,-0.397,"[-1.101, 0.307]",0.704,-1.126,0.264,8,0.150,116234056.013,0.109,0.000,-0.397,0,0,fp
k3,0.232,"[-0.518, 0.982]",0.750,0.618,0.539,8,0.150,116234056.013,0.109,0.000,0.232,0,0,fp
k4,0.177,"[-0.385, 0.74]",0.562,0.628,0.532,8,0.150,116234056.013,0.109,0.000,0.177,0,0,fp
k5,0.224,"[-0.406, 0.854]",0.630,0.711,0.480,8,0.150,116234056.013,0.109,0.000,0.224,0,0,fp
vot,0.189,,,,,8,0.150,116234056.013,0.109,0.167,0.022,0,0,fn
tt,-1.013,"[-1.575, -0.45]",0.562,-3.594,0.001,8,0.200,122112976.737,0.114,-1.000,-0.013,0,0,fn
